Population,Individual_ID,morph,col,nbands,fusion
24,5,Y00000,yellow,0,FALSE
24,6,P00000,pink,0,FALSE
24,7,Y00345,yellow,3,FALSE
24,8,Y00345,yellow,3,FALSE
24,9,Y12345,yellow,5,FALSE
24,10,B00000,brown,0,FALSE
24,11,Y12345,yellow,5,FALSE
24,12,Y12345,yellow,5,FALSE
24,13,Y00300,yellow,1,FALSE
24,14,Y12345,yellow,5,FALSE
25,1,Y00345,yellow,3,FALSE
25,2,Y00000,yellow,0,FALSE
25,3,Y00000,yellow,0,FALSE
25,4,Y00000,yellow,0,FALSE
25,5,Y00000,yellow,0,FALSE
25,6,Y003(45),yellow,3,TRUE
25,7,Y00300,yellow,1,FALSE
25,8,Y(12)3(45),yellow,5,TRUE
25,9,Y12345,yellow,5,FALSE
25,10,P(12345),pink,5,TRUE
25,11,Y00000,yellow,0,FALSE
25,12,Y00000,yellow,0,FALSE
25,13,P12345,pink,5,FALSE
25,14,Y12345,yellow,5,FALSE
25,15,Y00345,yellow,3,FALSE
25,16,P00345,pink,3,FALSE
25,17,Y00000,yellow,0,FALSE
25,18,Y12345,yellow,5,FALSE
25,1A,Y12345,yellow,5,FALSE
26,1,Y00000,yellow,0,FALSE
27,1,Y00300,yellow,1,FALSE
27,2,P12345,pink,5,FALSE
27,3,Y00300,yellow,1,FALSE
27,4,P12345,pink,5,FALSE
27,5,Y(12)3(45),yellow,5,TRUE
27,6,Y00045,yellow,2,FALSE
27,7,Y12345,yellow,5,FALSE
27,8,P00(345),pink,3,TRUE
27,9,Y(12)3(45),yellow,5,TRUE
27,1A,P00000,pink,0,FALSE
27,2A,Y(12)345,yellow,5,TRUE
27,3A,Y00300,yellow,1,FALSE
27,4A,Y12345,yellow,5,FALSE
27,5A,Y00300,yellow,1,FALSE
27,6A,Y00300,yellow,1,FALSE
28,1,P00000,pink,0,FALSE
28,2,P003(45),pink,3,TRUE
28,3,Y12345,yellow,5,FALSE
28,4,P123(45),pink,5,TRUE
28,5,P(123)(45),pink,5,TRUE
28,6,Y12345,yellow,5,FALSE
28,7,P12345,pink,5,FALSE
28,8,P(12)345,pink,5,TRUE
29,1,Y003(45),yellow,3,TRUE
29,2,Y12345,yellow,5,FALSE
29,3,P00300,pink,1,FALSE
29,4,P00345,pink,3,FALSE
29,5,Y00000,yellow,0,FALSE
29,6,Y12345,yellow,5,FALSE
29,7,Y12345,yellow,5,FALSE
29,8,B00000,brown,0,FALSE
29,9,B00000,brown,0,FALSE
29,10,Y(12)345,yellow,5,TRUE
29,11,P00000,pink,0,FALSE
29,12,Y12345,yellow,5,FALSE
30,1,P00345,pink,3,FALSE
30,2,P00000,pink,0,FALSE
30,3,P00000,pink,0,FALSE
30,4,P12345,pink,5,FALSE
30,5,P00000,pink,0,FALSE
30,6,P00300,pink,1,FALSE
30,7,P00000,pink,0,FALSE
30,8,P12345,pink,5,FALSE
30,9,P00300,pink,1,FALSE
30,10,P00000,pink,0,FALSE
30,11,P00000,pink,0,FALSE
30,12,P12345,pink,5,FALSE
30,13,P00000,pink,0,FALSE
30,14,P00000,pink,0,FALSE
30,15,P00000,pink,0,FALSE
30,16,P00000,pink,0,FALSE
30,17,P00000,pink,0,FALSE
30,18,P02345,pink,4,FALSE
30,19,P00345,pink,3,FALSE
30,20,P00000,pink,0,FALSE
30,21,P00000,pink,0,FALSE
30,22,P00000,pink,0,FALSE
30,23,P00000,pink,0,FALSE
30,24,P00000,pink,0,FALSE
30,1A,P00000,pink,0,FALSE
32,1,P00300,pink,1,FALSE
32,1A,Y00300,yellow,1,FALSE
32,2A,B00000,brown,0,FALSE
33,1,P00300,pink,1,FALSE
33,2,B00000,brown,0,FALSE
33,3,Y00000,yellow,0,FALSE
33,4,P00000,pink,0,FALSE
33,5,Y00300,yellow,1,FALSE
33,6,P00300,pink,1,FALSE
